name,time,priority
uav3,23.484,2.400491988408004
uav27,23.938,3.9600736724916357
uav15,24.236,2.4090342632461685
uav19,24.498,4.798217199467474
uav17,24.945,5.30161332152875
uav5,24.984,2.528810592767615
uav20,24.986,4.737263051076726
uav36,25.317,4.009677289947558
uav18,26.214,5.211469148266044
uav8,26.224,4.872273892364124
uav11,26.224,3.142479004935112
uav4,26.314,4.645466321629508
uav35,26.536,2.733402832861315
uav39,26.566,4.475478748033153
uav30,27.015,2.0023907939287495
uav6,27.404,2.40570175372327
uav40,27.596,4.408711568201254
uav32,27.975,3.3379048779195597
uav28,28.225,3.946288439916799
uav26,28.244,2.5377825931022104
uav38,28.375,3.261561174673069
uav24,28.554,1.5004047186634544
uav13,29.004,4.432542294421774
uav12,29.254,4.08959867841374
uav23,29.894,4.092185386640524
uav14,30.304,3.8480470798331132
uav16,31.264,3.69769272080983
uav33,31.514,3.470636856206457
uav9,32.054,3.119649103904388
uav10,32.164,2.0094947066187676
uav25,33.094,3.3804025373262285
uav37,33.814,3.2988100298461966
uav34,34.174,1.7952375716830178
uav21,34.574,2.2654177215851403
uav1,35.954,2.2505022511778288
uav22,36.424,2.0673857860898113
uav2,39.514,1.6894745545378806
uav7,41.974,1.4629701727161035
uav29,48.044,1.5033686055707143
