name,time,priority
uav27,24.208,3
uav15,24.505,3
uav19,24.866,3
uav3,25.123,3
uav24,25.307,3
uav5,25.413,3
uav20,25.497,3
uav38,25.918,3
uav26,26.466,3
uav39,27.078,3
uav32,27.387,3
uav35,27.537,3
uav25,27.946,3
uav30,27.956,3
uav4,28.713,3
uav11,28.764,3
uav34,28.816,3
uav18,28.964,3
uav40,29.155,3
uav17,29.425,3
uav21,29.744,3
uav29,29.875,3
uav1,29.963,3
uav13,29.963,3
uav16,30.454,3
uav8,30.643,3
uav7,31.043,3
uav33,31.153,3
uav2,31.373,3
uav6,31.923000000000002,3
uav37,32.203,3
uav12,32.403,3
uav22,32.483,3
uav9,32.503,3
uav14,32.533,3
uav28,32.573,3
uav36,32.643,3
uav10,33.043,3
uav23,33.443,3
