name,time,priority
uav15,23.982,3
uav27,24.683,3
uav19,24.983,3
uav5,25.04,3
uav20,25.342,3
uav24,25.633,3
uav17,25.792,3
uav3,25.879,3
uav26,26.142,3
uav38,26.163,3
uav35,26.242,3
uav39,26.733,3
uav30,27.372,3
uav6,27.709,3
uav28,28.351,3
uav2,28.459,3
uav18,28.49,3
uav8,28.679,3
uav13,28.749,3
uav32,29.17,3
uav11,29.49,3
uav4,29.759,3
uav36,29.83,3
uav7,29.849,3
uav40,30.03,3
uav14,30.069,3
uav25,30.09,3
uav37,30.33,3
uav29,30.68,3
uav9,31.089,3
uav12,31.189,3
uav1,31.519,3
uav16,32.189,3
uav33,32.839,3
uav34,32.939,3
uav10,32.969,3
uav21,34.419,3
uav22,34.469,3
uav23,34.869,3
