name,time,priority
uav3,22.853,3
uav15,23.796,5
uav5,23.983,5
uav19,24.386,4
uav24,24.417,4
uav20,24.675,5
uav17,24.746,2
uav35,24.878,5
uav27,25.177,2
uav25,26.186,5
uav30,26.236,5
uav8,26.614,3
uav4,26.743,4
uav18,26.754,3
uav40,26.837,5
uav9,26.993,4
uav10,27.003,5
uav34,27.575,4
uav6,27.623,1
uav39,27.645,4
uav14,27.754,4
uav13,28.263,3
uav29,28.314,4
uav26,28.664,1
uav38,28.974,3
uav23,29.164,3
uav28,29.504,3
uav7,29.533,2
uav32,30.303,2
uav12,31.263,2
uav22,31.393,2
uav33,31.753,3
uav11,32.663,1
uav16,32.753,1
uav37,33.673,2
uav2,34.253,2
uav21,34.373,1
uav36,35.283,1
uav1,35.463,1
