name,time,priority
uav3,23.555,3
uav15,23.816,5
uav5,23.984,5
uav19,24.386,4
uav24,24.407,4
uav35,24.648,5
uav20,24.676,5
uav17,24.786,2
uav27,25.247,2
uav25,25.896,5
uav38,25.898,3
uav39,26.218,4
uav30,26.266,5
uav18,26.466,3
uav40,26.766,5
uav8,27.074,3
uav10,27.255,5
uav34,27.256,4
uav14,27.585,4
uav9,28.005,4
uav29,28.245,4
uav33,28.726,3
uav13,29.145,3
uav28,29.236,3
uav26,29.295,1
uav4,29.344,4
uav22,30.675,2
uav37,30.894,2
uav32,31.684,2
uav11,32.794,1
uav23,33.044,3
uav21,33.124,1
uav7,33.184,2
uav2,33.314,2
uav16,33.524,1
uav36,33.604,1
uav6,33.804,1
uav1,33.834,1
uav12,34.404,2
